[2024-12-10 12:42:37 : INFO] - Cache for URL: https://theanalytichub.com/?p=13728 has been purged, triggered by action: save_post 
[2024-12-10 20:46:32 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 20:46:32 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 20:46:32 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 20:46:55 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 20:46:55 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 20:46:55 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 20:46:55 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 20:46:55 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 20:46:55 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 20:47:13 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 20:47:13 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 20:47:13 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 20:47:13 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 20:47:14 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 20:47:14 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 20:50:08 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 20:50:08 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 20:50:08 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 20:50:08 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 20:50:09 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 20:50:09 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 20:52:41 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 20:52:41 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 20:52:41 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 20:52:41 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 20:52:41 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 20:52:41 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 20:57:24 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 20:57:24 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 20:57:24 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 20:57:24 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 20:57:24 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 20:57:24 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 20:58:27 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 20:58:27 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 20:58:27 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 20:58:27 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 20:58:27 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 20:58:27 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:06:15 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:06:15 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:06:15 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:06:15 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:06:15 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:06:15 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:09:30 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:09:30 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:09:30 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:09:30 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:09:30 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:09:30 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:13:19 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:13:19 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:13:19 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:13:19 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:13:19 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:13:19 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:17:12 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:17:12 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:17:12 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:17:12 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:17:12 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:17:12 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:25:17 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:25:17 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:25:17 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:25:17 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:25:18 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:25:18 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:26:36 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:26:36 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:26:36 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:26:36 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:26:36 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:26:36 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:26:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:26:52 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:26:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:26:52 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:26:52 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:26:52 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:27:48 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:27:48 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:27:48 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:27:48 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:27:49 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:27:49 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:29:01 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:29:01 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:29:01 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:29:01 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:29:01 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:29:01 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:30:50 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:30:50 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:30:51 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:30:51 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:30:51 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:30:51 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:35:29 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:35:29 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:35:29 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:35:29 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:35:29 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:35:29 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:36:32 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:36:32 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:36:32 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:36:32 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:36:32 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:36:32 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:37:17 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:37:17 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:37:17 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:37:17 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:37:18 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:37:18 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:40:18 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:40:18 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:40:18 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:40:18 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:40:18 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:40:18 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:40:32 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:40:32 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:40:32 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:40:32 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:40:32 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:40:32 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:43:10 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:43:10 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:43:10 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:43:10 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:43:11 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:43:11 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:45:13 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:45:13 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:45:13 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:45:13 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:45:13 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:45:13 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:47:50 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:47:50 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:47:50 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:47:50 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:47:51 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:47:51 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:48:40 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:48:40 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:48:40 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:48:40 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:48:40 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:48:40 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:49:16 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:49:16 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:49:16 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:49:16 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:49:16 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:49:16 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:52:21 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:52:21 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:52:21 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:52:21 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:52:21 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:52:21 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:57:31 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:57:31 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:57:31 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:57:31 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-10 21:57:31 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-10 21:57:31 : INFO] - Cache for archive page associated with post_type: courses and Title: "Up and Running With Power BI" has been purged, triggered by action: save_post 
[2024-12-11 08:13:29 : INFO] - Cache for URL: https://theanalytichub.com/product/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-11 08:13:29 : INFO] - Cache for archive page associated with post_type: product and Title: "Master Data Analysis with Power BI" has been purged, triggered by action: save_post 
[2024-12-11 08:13:29 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-11 08:13:29 : INFO] - Cache for archive page associated with post_type: courses and Title: "Master Data Analysis with Power BI" has been purged, triggered by action: save_post 
[2024-12-11 08:13:29 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2024-12-11 08:13:29 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2024-12-11 08:24:29 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-11 08:24:29 : INFO] - Cache for archive page associated with post_type: courses and Title: "Master Data Analysis with Power BI" has been purged, triggered by action: save_post 
[2024-12-11 08:24:29 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-11 08:24:29 : INFO] - Cache for archive page associated with post_type: courses and Title: "Master Data Analysis with Power BI" has been purged, triggered by action: save_post 
[2024-12-11 08:24:30 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-11 08:24:30 : INFO] - Cache for archive page associated with post_type: courses and Title: "Master Data Analysis with Power BI" has been purged, triggered by action: save_post 
[2024-12-11 08:27:40 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-11 08:27:40 : INFO] - Cache for archive page associated with post_type: courses and Title: "Master Data Analysis with Power BI" has been purged, triggered by action: save_post 
[2024-12-11 08:27:40 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-11 08:27:40 : INFO] - Cache for archive page associated with post_type: courses and Title: "Master Data Analysis with Power BI" has been purged, triggered by action: save_post 
[2024-12-11 08:27:40 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-11 08:27:40 : INFO] - Cache for archive page associated with post_type: courses and Title: "Master Data Analysis with Power BI" has been purged, triggered by action: save_post 
[2024-12-11 08:33:57 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-11 08:33:57 : INFO] - Cache for archive page associated with post_type: courses and Title: "Master Data Analysis with Power BI" has been purged, triggered by action: save_post 
[2024-12-11 08:33:57 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-11 08:33:57 : INFO] - Cache for archive page associated with post_type: courses and Title: "Master Data Analysis with Power BI" has been purged, triggered by action: save_post 
[2024-12-11 08:33:58 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-11 08:33:58 : INFO] - Cache for archive page associated with post_type: courses and Title: "Master Data Analysis with Power BI" has been purged, triggered by action: save_post 
[2024-12-11 08:36:03 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-11 08:36:03 : INFO] - Cache for archive page associated with post_type: courses and Title: "Master Data Analysis with Power BI" has been purged, triggered by action: save_post 
[2024-12-11 08:36:03 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-11 08:36:03 : INFO] - Cache for archive page associated with post_type: courses and Title: "Master Data Analysis with Power BI" has been purged, triggered by action: save_post 
[2024-12-11 08:36:04 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-11 08:36:04 : INFO] - Cache for archive page associated with post_type: courses and Title: "Master Data Analysis with Power BI" has been purged, triggered by action: save_post 
[2024-12-11 08:46:42 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-11 08:46:42 : INFO] - Cache for archive page associated with post_type: courses and Title: "Master Data Analysis with Power BI" has been purged, triggered by action: save_post 
[2024-12-11 08:46:42 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-11 08:46:42 : INFO] - Cache for archive page associated with post_type: courses and Title: "Master Data Analysis with Power BI" has been purged, triggered by action: save_post 
[2024-12-11 08:46:42 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-11 08:46:42 : INFO] - Cache for archive page associated with post_type: courses and Title: "Master Data Analysis with Power BI" has been purged, triggered by action: save_post 
[2024-12-11 08:57:26 : INFO] - Cache for URL: https://theanalytichub.com/courses/powerbi-live/ has been purged, triggered by action: save_post 
[2024-12-11 08:57:26 : INFO] - Cache for archive page associated with post_type: courses and Title: "Master Data Analysis with Power BI" has been purged, triggered by action: save_post 
